,soil_moisture,soil_temperature,env_humidity,env_temperature,precipitations_mm,et0_fao,irrigation_status
0,31.9,29.1,30.0,40.6,23.1,0.144305555555556,2
1,31.9,29.0,31.5,35.9,23.1,0.144305555555556,2
2,31.74,29.0,35.0,34.9,23.1,0.144305555555556,2
3,31.74,29.0,35.0,34.7,23.1,0.144305555555556,2
4,31.61,28.9,35.0,33.6,23.1,0.144305555555556,2
5,31.55,28.8,35.0,33.8,23.1,0.146111111111111,2
6,31.48,28.8,35.0,34.2,23.1,0.146111111111111,2
7,31.48,28.7,34.5,34.5,23.1,0.146111111111111,2
8,31.41,28.7,36.0,34.5,23.1,0.146111111111111,2
9,31.41,28.7,35.5,34.6,23.1,0.146111111111111,2
10,31.41,28.6,35.0,34.6,23.1,0.146111111111111,2
11,31.41,28.6,35.5,34.2,23.3,0.146944444444444,2
12,31.35,28.5,36.5,33.9,23.3,0.146944444444444,2
13,31.35,28.4,37.0,33.9,23.3,0.146944444444444,2
14,31.35,28.4,35.0,33.9,23.3,0.146944444444444,2
15,31.35,28.3,34.5,33.9,23.3,0.146944444444444,2
16,31.21,28.3,35.0,34.0,23.3,0.146944444444444,2
17,31.21,28.2,37.0,33.2,23.4,0.147222222222222,2
18,31.21,28.1,36.5,33.1,23.4,0.147222222222222,2
19,31.21,28.1,38.0,32.7,23.4,0.147222222222222,2
20,31.21,28.0,38.0,31.7,23.4,0.147222222222222,2
21,31.21,28.0,40.0,30.7,23.4,0.147222222222222,2
22,31.21,27.9,46.0,29.3,23.4,0.147222222222222,2
23,31.13,27.9,44.5,28.4,23.4,0.147361111111111,2
24,31.13,27.8,45.5,27.8,23.4,0.147361111111111,2
25,31.13,27.7,47.5,27.7,23.4,0.147361111111111,2
26,31.13,27.7,46.0,27.3,23.4,0.147361111111111,2
27,31.13,27.6,46.5,27.0,23.4,0.147361111111111,2
28,31.13,27.6,46.0,26.4,23.4,0.147361111111111,2
29,31.07,27.5,47.0,26.1,23.4,0.147222222222222,2
30,31.07,27.5,47.0,25.8,23.4,0.147222222222222,2
31,31.07,27.4,48.0,25.4,23.4,0.147222222222222,2
32,31.07,27.4,48.5,25.0,23.4,0.147222222222222,2
33,31.0,27.3,48.5,25.0,23.4,0.147222222222222,2
34,31.0,27.2,48.5,25.2,23.4,0.147222222222222,2
35,31.0,27.2,48.5,25.3,23.4,0.147083333333333,2
36,31.0,27.1,47.5,25.3,23.4,0.147083333333333,2
37,31.0,27.0,47.0,25.3,23.4,0.147083333333333,2
38,31.0,27.0,48.0,25.1,23.4,0.147083333333333,2
39,30.93,26.9,49.5,24.7,23.4,0.147083333333333,2
40,30.93,26.8,52.0,24.1,23.4,0.147083333333333,2
41,30.93,26.8,55.0,23.4,23.4,0.147083333333333,2
42,30.93,26.7,56.0,23.3,23.4,0.147083333333333,2
43,30.93,26.7,54.0,23.7,23.4,0.147083333333333,2
44,30.86,26.6,54.0,23.9,23.4,0.147083333333333,2
45,30.86,26.6,56.0,23.4,23.4,0.147083333333333,2
46,30.86,26.5,58.5,23.2,23.4,0.147083333333333,2
47,30.86,26.5,61.0,23.0,23.4,0.147083333333333,2
48,30.86,26.4,60.5,22.9,23.4,0.147083333333333,2
49,30.86,26.4,60.5,23.2,23.4,0.147083333333333,2
50,30.86,26.3,60.5,23.3,23.4,0.147083333333333,2
51,30.8,26.3,61.5,23.1,23.4,0.147083333333333,2
52,30.8,26.2,61.5,23.0,23.4,0.147083333333333,2
53,30.8,26.2,62.5,22.8,23.4,0.147083333333333,2
54,30.8,26.1,63.5,22.8,23.4,0.147083333333333,2
55,30.8,26.1,64.5,22.6,23.4,0.147083333333333,2
56,30.8,26.1,65.0,22.6,23.4,0.147083333333333,2
57,30.66,26.0,65.0,22.5,23.4,0.147083333333333,2
58,30.66,26.0,65.5,22.7,23.4,0.147083333333333,2
59,30.66,25.9,66.5,22.5,23.4,0.147083333333333,2
60,30.66,25.9,67.5,22.4,23.4,0.147083333333333,2
61,30.66,25.9,68.5,22.2,23.4,0.147083333333333,2
62,30.8,25.8,74.5,21.8,23.4,0.147083333333333,2
63,30.8,25.8,79.5,21.0,23.4,0.147083333333333,2
64,30.8,25.8,82.5,20.5,23.4,0.147083333333333,2
65,30.66,25.7,84.0,20.2,23.4,0.147083333333333,2
66,30.8,25.7,87.5,20.1,23.4,0.147083333333333,2
67,30.8,25.7,88.0,19.9,23.4,0.147083333333333,2
68,30.8,25.6,88.5,19.8,23.4,0.147083333333333,2
69,30.66,25.6,88.0,19.8,23.4,0.147083333333333,2
70,30.66,25.6,89.0,19.6,23.4,0.147083333333333,2
71,30.66,25.5,89.0,19.7,23.4,0.146944444444444,2
72,30.66,25.5,89.0,19.6,23.4,0.146944444444444,2
73,30.66,25.5,90.0,19.6,23.4,0.146944444444444,2
