ts_generation,electrical_conductivity,soil_moisture,soil_temperature,env_humidity,env_temperature,hourly_time,precipitations_mm,humidity,et0_fao,irrigation_status
2023-06-29 14:04:16.101,723,31.9,29.1,30,40.6,2023-06-29 14:00:00,23.1,85.2222222222222,0.144305555555556,No adjustment
2023-06-29 14:14:17.491,723,31.9,29,31.5,35.9,2023-06-29 14:00:00,23.1,85.2222222222222,0.144305555555556,No adjustment
2023-06-29 14:24:18.856,723,31.74,29,35,34.9,2023-06-29 14:00:00,23.1,85.2222222222222,0.144305555555556,No adjustment
2023-06-29 14:34:20.229,722,31.74,29,35,34.7,2023-06-29 14:00:00,23.1,85.2222222222222,0.144305555555556,No adjustment
2023-06-29 14:54:22.965,723,31.61,28.9,35,33.6,2023-06-29 14:00:00,23.1,85.2222222222222,0.144305555555556,No adjustment
2023-06-29 15:04:24.328,720,31.55,28.8,35,33.8,2023-06-29 15:00:00,23.1,85.4722222222222,0.146111111111111,No adjustment
2023-06-29 15:14:25.689,720,31.48,28.8,35,34.2,2023-06-29 15:00:00,23.1,85.4722222222222,0.146111111111111,No adjustment
2023-06-29 15:24:27.071,721,31.48,28.7,34.5,34.5,2023-06-29 15:00:00,23.1,85.4722222222222,0.146111111111111,No adjustment
2023-06-29 15:34:28.426,722,31.41,28.7,36,34.5,2023-06-29 15:00:00,23.1,85.4722222222222,0.146111111111111,No adjustment
2023-06-29 15:44:29.799,722,31.41,28.7,35.5,34.6,2023-06-29 15:00:00,23.1,85.4722222222222,0.146111111111111,No adjustment
2023-06-29 15:54:31.159,723,31.41,28.6,35,34.6,2023-06-29 15:00:00,23.1,85.4722222222222,0.146111111111111,No adjustment
2023-06-29 16:04:32.525,723,31.41,28.6,35.5,34.2,2023-06-29 16:00:00,23.3,85.7361111111111,0.146944444444444,No adjustment
2023-06-29 16:14:33.890,726,31.35,28.5,36.5,33.9,2023-06-29 16:00:00,23.3,85.7361111111111,0.146944444444444,No adjustment
2023-06-29 16:24:35.258,725,31.35,28.4,37,33.9,2023-06-29 16:00:00,23.3,85.7361111111111,0.146944444444444,No adjustment
2023-06-29 16:34:36.631,726,31.35,28.4,35,33.9,2023-06-29 16:00:00,23.3,85.7361111111111,0.146944444444444,No adjustment
2023-06-29 16:44:37.971,726,31.35,28.3,34.5,33.9,2023-06-29 16:00:00,23.3,85.7361111111111,0.146944444444444,No adjustment
2023-06-29 16:54:39.343,727,31.21,28.3,35,34,2023-06-29 16:00:00,23.3,85.7361111111111,0.146944444444444,No adjustment
2023-06-29 17:04:40.707,728,31.21,28.2,37,33.2,2023-06-29 17:00:00,23.4,86.0555555555556,0.147222222222222,No adjustment
2023-06-29 17:14:42.065,729,31.21,28.1,36.5,33.1,2023-06-29 17:00:00,23.4,86.0555555555556,0.147222222222222,No adjustment
2023-06-29 17:24:43.421,730,31.21,28.1,38,32.7,2023-06-29 17:00:00,23.4,86.0555555555556,0.147222222222222,No adjustment
2023-06-29 17:34:44.780,730,31.21,28,38,31.7,2023-06-29 17:00:00,23.4,86.0555555555556,0.147222222222222,No adjustment
2023-06-29 17:44:46.155,731,31.21,28,40,30.7,2023-06-29 17:00:00,23.4,86.0555555555556,0.147222222222222,No adjustment
2023-06-29 17:54:47.511,732,31.21,27.9,46,29.3,2023-06-29 17:00:00,23.4,86.0555555555556,0.147222222222222,No adjustment
2023-06-29 18:04:48.871,732,31.13,27.9,44.5,28.4,2023-06-29 18:00:00,23.4,86.3333333333333,0.147361111111111,No adjustment
2023-06-29 18:14:50.235,733,31.13,27.8,45.5,27.8,2023-06-29 18:00:00,23.4,86.3333333333333,0.147361111111111,No adjustment
2023-06-29 18:24:51.610,734,31.13,27.7,47.5,27.7,2023-06-29 18:00:00,23.4,86.3333333333333,0.147361111111111,No adjustment
2023-06-29 18:34:52.951,733,31.13,27.7,46,27.3,2023-06-29 18:00:00,23.4,86.3333333333333,0.147361111111111,No adjustment
2023-06-29 18:44:54.320,735,31.13,27.6,46.5,27,2023-06-29 18:00:00,23.4,86.3333333333333,0.147361111111111,No adjustment
2023-06-29 18:54:55.700,734,31.13,27.6,46,26.4,2023-06-29 18:00:00,23.4,86.3333333333333,0.147361111111111,No adjustment
2023-06-29 19:04:57.045,735,31.07,27.5,47,26.1,2023-06-29 19:00:00,23.4,86.5555555555556,0.147222222222222,No adjustment
2023-06-29 19:14:58.418,735,31.07,27.5,47,25.8,2023-06-29 19:00:00,23.4,86.5555555555556,0.147222222222222,No adjustment
2023-06-29 19:24:59.768,734,31.07,27.4,48,25.4,2023-06-29 19:00:00,23.4,86.5555555555556,0.147222222222222,No adjustment
2023-06-29 19:35:01.134,735,31.07,27.4,48.5,25,2023-06-29 19:00:00,23.4,86.5555555555556,0.147222222222222,No adjustment
2023-06-29 19:45:02.507,735,31,27.3,48.5,25,2023-06-29 19:00:00,23.4,86.5555555555556,0.147222222222222,No adjustment
2023-06-29 19:55:03.875,735,31,27.2,48.5,25.2,2023-06-29 19:00:00,23.4,86.5555555555556,0.147222222222222,No adjustment
2023-06-29 20:05:05.216,735,31,27.2,48.5,25.3,2023-06-29 20:00:00,23.4,86.7916666666667,0.147083333333333,No adjustment
2023-06-29 20:15:06.606,735,31,27.1,47.5,25.3,2023-06-29 20:00:00,23.4,86.7916666666667,0.147083333333333,No adjustment
2023-06-29 20:25:07.954,735,31,27,47,25.3,2023-06-29 20:00:00,23.4,86.7916666666667,0.147083333333333,No adjustment
2023-06-29 20:35:09.308,735,31,27,48,25.1,2023-06-29 20:00:00,23.4,86.7916666666667,0.147083333333333,No adjustment
2023-06-29 20:45:10.689,736,30.93,26.9,49.5,24.7,2023-06-29 20:00:00,23.4,86.7916666666667,0.147083333333333,No adjustment
2023-06-29 20:55:12.050,736,30.93,26.8,52,24.1,2023-06-29 20:00:00,23.4,86.7916666666667,0.147083333333333,No adjustment
2023-06-29 21:05:13.405,736,30.93,26.8,55,23.4,2023-06-29 21:00:00,23.4,87,0.147083333333333,No adjustment
2023-06-29 21:15:14.774,736,30.93,26.7,56,23.3,2023-06-29 21:00:00,23.4,87,0.147083333333333,No adjustment
2023-06-29 21:25:16.131,736,30.93,26.7,54,23.7,2023-06-29 21:00:00,23.4,87,0.147083333333333,No adjustment
2023-06-29 21:35:17.487,737,30.86,26.6,54,23.9,2023-06-29 21:00:00,23.4,87,0.147083333333333,No adjustment
2023-06-29 21:45:18.840,737,30.86,26.6,56,23.4,2023-06-29 21:00:00,23.4,87,0.147083333333333,No adjustment
2023-06-29 21:55:20.201,737,30.86,26.5,58.5,23.2,2023-06-29 21:00:00,23.4,87,0.147083333333333,No adjustment
2023-06-29 22:05:21.556,737,30.86,26.5,61,23,2023-06-29 22:00:00,23.4,87.1805555555556,0.147083333333333,No adjustment
2023-06-29 22:15:22.917,737,30.86,26.4,60.5,22.9,2023-06-29 22:00:00,23.4,87.1805555555556,0.147083333333333,No adjustment
2023-06-29 22:25:24.296,737,30.86,26.4,60.5,23.2,2023-06-29 22:00:00,23.4,87.1805555555556,0.147083333333333,No adjustment
2023-06-29 22:35:25.640,737,30.86,26.3,60.5,23.3,2023-06-29 22:00:00,23.4,87.1805555555556,0.147083333333333,No adjustment
2023-06-29 22:45:26.989,737,30.8,26.3,61.5,23.1,2023-06-29 22:00:00,23.4,87.1805555555556,0.147083333333333,No adjustment
2023-06-29 22:55:28.345,737,30.8,26.2,61.5,23,2023-06-29 22:00:00,23.4,87.1805555555556,0.147083333333333,No adjustment
2023-06-29 23:05:29.712,737,30.8,26.2,62.5,22.8,2023-06-29 23:00:00,23.4,87.3472222222222,0.147083333333333,No adjustment
2023-06-29 23:15:31.086,738,30.8,26.1,63.5,22.8,2023-06-29 23:00:00,23.4,87.3472222222222,0.147083333333333,No adjustment
2023-06-29 23:25:32.433,738,30.8,26.1,64.5,22.6,2023-06-29 23:00:00,23.4,87.3472222222222,0.147083333333333,No adjustment
2023-06-29 23:35:33.799,737,30.8,26.1,65,22.6,2023-06-29 23:00:00,23.4,87.3472222222222,0.147083333333333,No adjustment
2023-06-29 23:45:35.165,737,30.66,26,65,22.5,2023-06-29 23:00:00,23.4,87.3472222222222,0.147083333333333,No adjustment
2023-06-29 23:55:36.542,737,30.66,26,65.5,22.7,2023-06-29 23:00:00,23.4,87.3472222222222,0.147083333333333,No adjustment
2023-06-30 00:05:37.897,738,30.66,25.9,66.5,22.5,2023-06-30 00:00:00,23.4,87.5694444444444,0.147083333333333,No adjustment
2023-06-30 00:15:39.272,739,30.66,25.9,67.5,22.4,2023-06-30 00:00:00,23.4,87.5694444444444,0.147083333333333,No adjustment
2023-06-30 00:25:40.645,739,30.66,25.9,68.5,22.2,2023-06-30 00:00:00,23.4,87.5694444444444,0.147083333333333,No adjustment
2023-06-30 00:35:42.012,739,30.8,25.8,74.5,21.8,2023-06-30 00:00:00,23.4,87.5694444444444,0.147083333333333,No adjustment
2023-06-30 00:45:43.375,738,30.8,25.8,79.5,21,2023-06-30 00:00:00,23.4,87.5694444444444,0.147083333333333,No adjustment
2023-06-30 00:55:44.739,739,30.8,25.8,82.5,20.5,2023-06-30 00:00:00,23.4,87.5694444444444,0.147083333333333,No adjustment
2023-06-30 01:05:46.081,740,30.66,25.7,84,20.2,2023-06-30 01:00:00,23.4,87.9305555555556,0.147083333333333,No adjustment
2023-06-30 01:15:47.427,738,30.8,25.7,87.5,20.1,2023-06-30 01:00:00,23.4,87.9305555555556,0.147083333333333,No adjustment
2023-06-30 01:25:48.799,739,30.8,25.7,88,19.9,2023-06-30 01:00:00,23.4,87.9305555555556,0.147083333333333,No adjustment
2023-06-30 01:35:50.150,739,30.8,25.6,88.5,19.8,2023-06-30 01:00:00,23.4,87.9305555555556,0.147083333333333,No adjustment
2023-06-30 01:45:51.525,739,30.66,25.6,88,19.8,2023-06-30 01:00:00,23.4,87.9305555555556,0.147083333333333,No adjustment
2023-06-30 01:55:52.892,739,30.66,25.6,89,19.6,2023-06-30 01:00:00,23.4,87.9305555555556,0.147083333333333,No adjustment
2023-06-30 02:05:54.258,740,30.66,25.5,89,19.7,2023-06-30 02:00:00,23.4,88.3472222222222,0.146944444444444,No adjustment
2023-06-30 02:15:55.614,739,30.66,25.5,89,19.6,2023-06-30 02:00:00,23.4,88.3472222222222,0.146944444444444,No adjustment
2023-06-30 02:25:56.983,739,30.66,25.5,90,19.6,2023-06-30 02:00:00,23.4,88.3472222222222,0.146944444444444,No adjustment
2023-06-30 02:35:58.346,740,30.66,25.4,90,19.6,2023-06-30 02:00:00,23.4,88.3472222222222,0.146944444444444,No adjustment
2023-06-30 02:45:59.712,739,30.66,25.4,89,19.6,2023-06-30 02:00:00,23.4,88.3472222222222,0.146944444444444,No adjustment
2023-06-30 02:56:01.059,739,30.6,25.4,88,19.4,2023-06-30 02:00:00,23.4,88.3472222222222,0.146944444444444,No adjustment
2023-06-30 03:06:02.434,739,30.6,25.3,88,19.4,2023-06-30 03:00:00,23.4,88.6527777777778,0.146944444444444,No adjustment
2023-06-30 03:16:03.804,740,30.6,25.3,88.5,19.1,2023-06-30 03:00:00,23.4,88.6527777777778,0.146944444444444,No adjustment
2023-06-30 03:26:05.156,740,30.6,25.2,88,18.8,2023-06-30 03:00:00,23.4,88.6527777777778,0.146944444444444,No adjustment
2023-06-30 03:36:06.504,739,30.6,25.2,89,18.6,2023-06-30 03:00:00,23.4,88.6527777777778,0.146944444444444,No adjustment
2023-06-30 03:46:07.877,740,30.6,25.2,89.5,18.4,2023-06-30 03:00:00,23.4,88.6527777777778,0.146944444444444,No adjustment
2023-06-30 03:56:09.244,740,30.6,25.1,90.5,18.3,2023-06-30 03:00:00,23.4,88.6527777777778,0.146944444444444,No adjustment
2023-06-30 04:06:10.597,739,30.53,25.1,91,18.4,2023-06-30 04:00:00,23.4,88.8333333333333,0.146944444444444,No adjustment
2023-06-30 04:16:11.964,740,30.53,25.1,91,18.4,2023-06-30 04:00:00,23.4,88.8333333333333,0.146944444444444,No adjustment
2023-06-30 04:26:13.340,739,30.53,25,90,18.9,2023-06-30 04:00:00,23.4,88.8333333333333,0.146944444444444,No adjustment
2023-06-30 04:36:14.695,740,30.53,25,89.5,19.3,2023-06-30 04:00:00,23.4,88.8333333333333,0.146944444444444,No adjustment
2023-06-30 04:46:16.044,740,30.47,24.9,89,19.6,2023-06-30 04:00:00,23.4,88.8333333333333,0.146944444444444,No adjustment
2023-06-30 04:56:17.397,739,30.47,24.9,87.5,20,2023-06-30 04:00:00,23.4,88.8333333333333,0.146944444444444,No adjustment
2023-06-30 05:06:18.761,739,30.47,24.9,86.5,20.3,2023-06-30 05:00:00,23.4,88.9444444444444,0.146805555555556,No adjustment
2023-06-30 05:16:20.126,739,30.47,24.8,84,21.2,2023-06-30 05:00:00,23.4,88.9444444444444,0.146805555555556,No adjustment
2023-06-30 05:26:21.510,739,30.47,24.8,80.5,22.5,2023-06-30 05:00:00,23.4,88.9444444444444,0.146805555555556,No adjustment
2023-06-30 05:36:22.866,740,30.47,24.8,77,23.5,2023-06-30 05:00:00,23.4,88.9444444444444,0.146805555555556,No adjustment
2023-06-30 05:46:24.234,740,30.47,24.8,74,23.8,2023-06-30 05:00:00,23.4,88.9444444444444,0.146805555555556,No adjustment
2023-06-30 05:56:25.602,740,30.47,24.8,71,24.7,2023-06-30 05:00:00,23.4,88.9444444444444,0.146805555555556,No adjustment
2023-06-30 06:06:26.945,740,30.41,24.8,68,25.4,2023-06-30 06:00:00,23.4,89.0555555555556,0.146666666666667,No adjustment
2023-06-30 06:16:28.334,740,30.41,24.8,68,25.4,2023-06-30 06:00:00,23.4,89.0555555555556,0.146666666666667,No adjustment
2023-06-30 06:26:29.693,740,30.41,24.8,61.5,27,2023-06-30 06:00:00,23.4,89.0555555555556,0.146666666666667,No adjustment
